source,2010-01-01T00:00:00Z,2010-07-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,,,,,1.0,,
Biosensor,1.0,1.0,,,,,,,,,,,
Carbon capture and storage,,,,,,,1.0,,,,,,
Carbon sequestration,,,,,,,,,1.0,,,,1.0
Cloud computing,,,1.0,1.0,1.0,1.0,,,,,,,
Deep learning,,,,,,,,,1.0,,,1.0,1.0
Digital image processing,,,,,,1.0,1.0,,,,,,
Fuel cell,,,,,,,,,1.0,,,,
Gasification,,,,1.0,,,1.0,1.0,1.0,,,,
Gesture recognition,,,,,,,,1.0,,,,,
Intelligent transportation system,,,,1.0,,,,,,,,1.0,
Internet of things,,,,,,,,1.0,1.0,1.0,,,2.0
Learning Management System,,,,,,,,,,,,1.0,
Lidar,,,,,,,,,,,1.0,,
Life-cycle assessment,,,,,,,1.0,,,,,1.0,
Machine translation,,,,,,,,,,1.0,,,
Microfluidics,,,,,,,,,,,1.0,,
Mobile learning,,,,,,1.0,,,1.0,1.0,,,
Natural Language Processing,1.0,,,,,,,,,,,,
Neural Networks,,,,,,,,,,,1.0,,2.0
Radio-frequency identification,,,1.0,,,,,,,,,,
Rapid transit,,,,,,,,,,,,1.0,
Regenerative Medicine,,,,,,,,,1.0,,,,
Smart grid,,,,,,,,,,,,1.0,1.0
Smartphone,,,,,,,2.0,,1.0,,,2.0,3.0
Stem-cell therapy,,,,,,,,,,1.0,,,
Virtual reality,,,,,,,,,,1.0,,,
